""	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES
PTPLA	0.0263494219269064	0.0516709899549262	0.0507525913064743	-0.00231196250148325	0.000257285911689518	0.0159471154692477	0.0403007527354302	0.00340077029009458
PTPLAD1	-0.0477078510706324	0.211581987554852	0.212185393883833	0.178387761531485	0.165045200638666	0.0291195247136427	0.117088505373608	-0.124589000079455
PTPLAD2	0.172852171328759	-0.190930747060335	-0.257525078884073	-0.279444846971734	-0.276247925204326	-0.0324705622833182	-0.170462162260684	0.288635535018248
PTPLB	0.0387396074372369	0.0749017831339054	0.0435924839471385	-0.0405621020476223	-0.0289822596695347	-0.00101394662415483	0.0432841494286535	0.00704828826573885
PTPMT1	0.0688935781955996	0.210000158812193	0.128472960096598	-0.0192648666835031	-0.00955974725265324	0.0156128110680138	0.122989745529471	0.0164409225159102
PTPN1	0.127384345233259	-0.0237795566494666	-0.0820395227488022	-0.0498442073048459	-0.0739427314059735	-0.0432417992778756	-0.0238037527776125	0.0831354188005914
PTPN11	-0.0690717809011543	0.135274625078544	0.177992195873928	0.167211806449177	0.161700191154506	0.0366959223618601	0.0902510934085522	-0.156624948951781
PTPN12	0.0432389163364219	0.0486511948353511	0.00928952711705331	0.107558810572178	0.0744796654138571	-0.0132130842777336	0.0578853436814549	-0.041337543734659
PTPN13	0.071817664250226	0.323410137355184	0.237720652508752	0.0333864648852167	0.048469134909049	0.0421938063210691	0.218391152906373	-0.0376377224862114
PTPN14	0.0731186545201945	0.151746008714229	-0.0108673685707792	-0.0356661297512861	-0.0413077344972268	-0.0506364436538883	0.163089482974951	0.0259116714615029
PTPN18	0.165364471429899	-0.0198098994017926	-0.142557400741582	-0.15743227973304	-0.169108717267228	-0.012306621463363	-0.0157701579164606	0.171018743632036
PTPN2	0.0653785086550253	-0.0818717056207475	-0.123361175128703	-0.0636343996301029	-0.0703620326630243	-0.0431372162204731	-0.0505965446837336	0.0679301625387722
PTPN20A	-0.00536193623475534	-0.024364440106501	0.0062944203261996	0.0370980464954922	0.0376361426287391	0.036606532930346	-0.0295116251005663	-0.0105812958782221
PTPN20B	-0.00536193623475534	-0.024364440106501	0.0062944203261996	0.0370980464954922	0.0376361426287391	0.036606532930346	-0.0295116251005663	-0.0105812958782221
PTPN21	0.0199203091833026	0.137596953506508	0.0676538541346279	0.0812412780873601	0.0693184824540083	-0.0141689905789799	0.143835836768898	-0.0501072610527675
PTPN22	0.104976932022638	-0.158629431698422	-0.185592261158649	-0.185229035743649	-0.184766111696817	-0.0463302463747255	-0.137294316568987	0.185290884519599
PTPN23	-0.00434143273675523	0.0637563341566615	0.0930570975482295	0.0944045813608844	0.0919611090288733	0.0109359141119652	0.0429241512173979	-0.0818773898657403
PTPN3	-6.26192878894847e-07	0.000890697443242087	0.0134827585520992	0.015242926495844	0.0235519334386507	-0.0275188448485276	-0.0101361446734525	-0.0257010391366723
PTPN4	-0.12018059713102	0.064300943152954	0.116571145881309	0.18275799875853	0.179345337981808	0.0559441638625588	0.0315072812799639	-0.153782555163901
PTPN5	-0.184140964825445	-0.0763671755850634	0.0816678049632756	0.231314937606905	0.228460966724956	0.0647169190999192	-0.0904129218241565	-0.222107808657509
PTPN6	0.21907646989259	-0.301656850820095	-0.340763536250822	-0.349818332782043	-0.346440225725145	-0.0618719217071807	-0.287365913637927	0.365359056384899
PTPN7	0.152940360421691	-0.101746797216519	-0.184752067366853	-0.229363125742482	-0.223628466720658	0.0307953633785238	-0.101786613090598	0.238652638928261
PTPN9	0.0871088772017885	0.0897456682278876	0.0175238991227623	-0.00175335003923029	-0.0146093258373443	-0.05862585612268	0.0758298994341589	0.0326185402799328
PTPRA	0.0792251343229754	0.29967638817728	0.114049613479298	0.0119775680471713	-0.00357855843773346	-0.0266210964811366	0.260662257204528	0.0169221974220483
PTPRB	-0.00218735265588541	-0.0648496606227167	-0.0646240298249754	-0.000964073282616233	-0.0146165056585235	-0.0332768807656988	-0.00245310344281554	0.00428701177429001
PTPRC	0.213148784094146	-0.323246450605914	-0.358665515258634	-0.382439377661867	-0.369672024336575	-0.0710957111275548	-0.279899638946143	0.385888842837637
PTPRCAP	0.0308783116613627	-0.0750235959341771	-0.0897852512942621	-0.0876905656268848	-0.089396003720946	-0.00806450979889914	-0.0491401900313067	0.0865785770939682
